cidade,nome_do_bar,endereco,imagem_prato,pagina_url,lat,lng
Belo Horizonte,Bar e Restaurante Bom Sabor,"R. Java, 386  | Nova Suíça, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111010/bomsabor_saboresdaroca_bh_2026_pauloti_unibh-5218.jpg,https://comidadibuteco.com.br/buteco/bar-e-restaurante-bom-sabor/,-19.9330332,-43.9772043
Belo Horizonte,Bar e Restaurante do Branco,"Rua Pitangui, 3197 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111549/bardobranco_bemcasado_bh_2026_isaquerodrigues_unibh-3534.jpg,https://comidadibuteco.com.br/buteco/bar-e-restaurante-do-branco/,-19.907653099999997,-43.918110899999995
Belo Horizonte,Bar Estabelecimento,"R. Monte Alegre, 160 | Serra, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111551/barestabelecimento_comabarriganofogo_bh_2026_rodneycosta_unibh-5068.jpg,https://comidadibuteco.com.br/buteco/bar-estabelecimento/,-19.9363238,-43.9238907
Belo Horizonte,Bar Junto Juntinho,"Rua Cura D’Ars, 542 | Prado, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111553/juntojuntinho_marinheiropopeye_bh_2026_julianunes_unibh-3395.jpg,https://comidadibuteco.com.br/buteco/bar-junto-juntinho/,-19.927329699999998,-43.9643647
Belo Horizonte,Bar Mania Mineira,"Rua Paracatu, 1099 | Santo Agostinho, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111555/maniamineira_joelhodavovopig_bh_2026_pauloti_unibh-3996.jpg,https://comidadibuteco.com.br/buteco/5668-revision-v1/,-19.9275471,-43.9532141
Belo Horizonte,Bar Pompéu,"R. São Miguel, 779 - antigo 1243 | Itapoã, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111656/barpompeu_porquinhomelado_isabelaaraujo_unibh-3547.jpg,https://comidadibuteco.com.br/buteco/3135-revision-v1/,-19.8426717,-43.9583853
Belo Horizonte,Bar Stella,"Av. Saramenha, 1599 | Guarani, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111658/barstellaoficial_porcoamineira_bh_2026_rodneycosta_unibh-4700.jpg,https://comidadibuteco.com.br/buteco/bar-stella/,-19.8440095,-43.917463399999995
Belo Horizonte,Bar Temático Sta. Teresa,"R. Pirite, 187  | Santa Teresa, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111700/bartematico_osegredodaforcadolampiao_bh_2026_rodneycosta_unibh-4664.jpg,https://comidadibuteco.com.br/buteco/bar-tematico-sta-teresa-2/,-19.911763999999998,-43.9111267
Belo Horizonte,Barrigudinha Buteco,"Av. dos Engenheiros, 1071 | Alípio de Melo, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111702/barrigudinha_flordeminas_bh_2026_luizafernandes_unibh-3472.jpg,https://comidadibuteco.com.br/buteco/barrigudinha-buteco/,-19.8887419,-44.002711999999995
Belo Horizonte,Barzim dos Amigos,"R. Lindolfo de Azevedo, 1263 | Jardim América, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111704/barzimdosamigos_penaroca_bh_2026_joaovictor_unibh-3489.jpg,https://comidadibuteco.com.br/buteco/barzim-dos-amigos/,-19.9434911,-43.9738036
Belo Horizonte,Bazin Bar,"R. Min. Orozimbo Nonato, 1053| Dona Clara, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111805/bazim_conceicao_bh_2026_pauloti_unibh-4811.jpg,https://comidadibuteco.com.br/buteco/bazin-bar/,-19.8567422,-43.9426564
Belo Horizonte,Beco Restaurante,"R. dos Tamoios, 232 | Centro, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111807/becorestaurante_verdequetequerorabo_bh_2026_pauloti_unibh-4495.jpg,https://comidadibuteco.com.br/buteco/beco-restaurante/,-19.9202735,-43.9386206
Belo Horizonte,Bella Bar e Restaurante,"Rua dos Odontólogos, 422  | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111809/bellabar_bellomurro_bh_2026_pauloti_unibh-4781.jpg,https://comidadibuteco.com.br/buteco/bella-bar-e-restaurante/,-19.8893626,-44.0028413
Belo Horizonte,Boi Major,"R. Major Lopes, 7 | São Pedro, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111810/boimajor_nacifcorrea_bh_2026_rodneycosta_unibh-4323.jpg,https://comidadibuteco.com.br/buteco/boi-major/,-19.941174,-43.9375874
Belo Horizonte,Boteco 86,"R. Jacarina, 86 | Padre Eustáquio, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111812/boteco86_tremdeminas_bh_2026_pauloti_unibh-4902.jpg,https://comidadibuteco.com.br/buteco/boteco-86/,-19.9134027,-43.9720079
Belo Horizonte,Botequim Buritis,"Rua Vitório Magnavacca, 39 | Buritis, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111914/botequimburitis_boibumba_bh_2026_pauloti_unibh-4077.jpg,https://comidadibuteco.com.br/buteco/botequim-buritis/,-19.9703359,-43.9655352
Belo Horizonte,Buteco do Lili,"R. Líbero Badaró, 493 | Dona Clara, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111916/botecodolele_saboresdavomaria_isabelaaraujo_unibh-3258.jpg,https://comidadibuteco.com.br/buteco/3151-autosave-v1/,-19.8611471,-43.9460218
