cidade;nome_do_bar;endereco;imagem_prato;pagina_url
Belo Horizonte;Bar e Restaurante do Branco;Rua Pitangui, 3197 | Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111549/bardobranco_bemcasado_bh_2026_isaquerodrigues_unibh-3534.jpg;https://comidadibuteco.com.br/buteco/bar-e-restaurante-do-branco/
Belo Horizonte;Bar Estabelecimento;R. Monte Alegre, 160 | Serra, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111551/barestabelecimento_comabarriganofogo_bh_2026_rodneycosta_unibh-5068.jpg;https://comidadibuteco.com.br/buteco/bar-estabelecimento/
Belo Horizonte;Bar Junto Juntinho;Rua Cura D’Ars, 542 | Prado, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111553/juntojuntinho_marinheiropopeye_bh_2026_julianunes_unibh-3395.jpg;https://comidadibuteco.com.br/buteco/bar-junto-juntinho/
Belo Horizonte;Bar Mania Mineira;Rua Paracatu, 1099 | Santo Agostinho, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111555/maniamineira_joelhodavovopig_bh_2026_pauloti_unibh-3996.jpg;https://comidadibuteco.com.br/buteco/5668-revision-v1/
Belo Horizonte;Bar Pompéu;R. São Miguel, 779 - antigo 1243 | Itapoã, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111656/barpompeu_porquinhomelado_isabelaaraujo_unibh-3547.jpg;https://comidadibuteco.com.br/buteco/3135-revision-v1/
Belo Horizonte;Bar Stella;Av. Saramenha, 1599 | Guarani, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111658/barstellaoficial_porcoamineira_bh_2026_rodneycosta_unibh-4700.jpg;https://comidadibuteco.com.br/buteco/bar-stella/
Belo Horizonte;Bar Temático Sta. Teresa;R. Pirite, 187  | Santa Teresa, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111700/bartematico_osegredodaforcadolampiao_bh_2026_rodneycosta_unibh-4664.jpg;https://comidadibuteco.com.br/buteco/bar-tematico-sta-teresa-2/
Belo Horizonte;Barrigudinha Buteco;Av. dos Engenheiros, 1071 | Alípio de Melo, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111702/barrigudinha_flordeminas_bh_2026_luizafernandes_unibh-3472.jpg;https://comidadibuteco.com.br/buteco/barrigudinha-buteco/
Belo Horizonte;Barzim dos Amigos;R. Lindolfo de Azevedo, 1263 | Jardim América, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111704/barzimdosamigos_penaroca_bh_2026_joaovictor_unibh-3489.jpg;https://comidadibuteco.com.br/buteco/barzim-dos-amigos/
Belo Horizonte;Bazin Bar;R. Min. Orozimbo Nonato, 1053| Dona Clara, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111805/bazim_conceicao_bh_2026_pauloti_unibh-4811.jpg;https://comidadibuteco.com.br/buteco/bazin-bar/
